	N mM	P mM	Aeration rate	Carotene concentration	Carotene concentration simulated	Carotene concentration diff	Lutein concentration	Lutein concentration simulated	Lutein concentration diff
1	7.5	0.05	600	0.33473625784299704	0.397628370481037	0.188	0.5897480473998072	2.212740925686898	2.752
2	12.5	0.05	600	0.22441855013205161	0.3957938548960534	0.764	0.4561937041223127	2.206572483859256	3.837
3	7.5	0.15	600	1.0332532448787495	0.5978819365912988	0.421	2.011937797284268	3.26664652154185	0.624
4	12.5	0.15	600	0.6424039136695138	0.5934304602973358	0.076	1.3028300146028058	3.2266405513562986	1.477
5	7.5	0.05	600	0.2232760838681147	0.3930649635743998	0.76	0.6108888436458674	2.1952084960359244	2.593
6	12.5	0.05	600	0.19715235093934325	0.28662737433041063	0.454	0.411578722803467	1.5214011870485467	2.697
7	7.5	0.15	600	1.1906537943707518	0.601904509166596	0.494	2.1269941071537324	3.327843462494094	0.565
8	12.5	0.15	600	0.813744108453198	0.6014507295151917	0.261	1.8348533820262851	3.338271157399722	0.819
9	7.5	0.05	800	0.07640503986802227	0.08695119409279618	0.138	0.23062577841011336	0.4447784293227194	0.929
10	12.5	0.05	800	0.06655022954490183	0.09022096118783376	0.356	0.19949858221912317	0.4464829633962809	1.238
11	7.5	0.15	800	0.5397243695449095	0.09940366143360568	0.816	1.0687448061804965	0.5031638937476928	0.529
12	12.5	0.15	800	0.29254143733593463	0.10493154229150253	0.641	0.8658422741379806	0.49232131303233617	0.431
13	7.5	0.05	800	0.05065839173659322	0.08594489134696544	0.697	0.23761597096665035	0.44419960655601975	0.869
14	12.5	0.05	800	0.06944458926224971	0.08549674232135905	0.231	0.3507068633279964	0.44395204639637653	0.266
15	7.5	0.15	800	0.42874265141409507	0.1012142128627482	0.764	1.3154469389075385	0.49952453067785324	0.62
16	12.5	0.15	800	0.4684050791704891	0.10294558814001534	0.78	1.9888267094164933	0.49629126077712854	0.75
17	5.0	0.1	700	0.3039733210676552	0.23702654527367986	0.22	0.46509558871663254	1.4608431786323923	2.141
18	15.0	0.1	700	0.21414719700364074	0.23691857786107265	0.106	0.37600855935260163	1.4540462487949841	2.867
19	10.0	0.0	700	0.027886356462017155	0.0902734961814881	2.237	0.10818008034538994	0.4812566150945989	3.449
20	10.0	0.2	700	0.935675842034876	0.2368672408280207	0.747	2.035744281407318	1.3529290630604232	0.335
22	10.0	0.1	700	0.12793151495230937	0.23621450481870188	0.846	0.28068861534606004	1.4605378158540323	4.203
23	10.0	0.1	500	0.4955280483690353	0.19479184621263906	0.607	1.0246747177127276	0.9410616626325873	0.082
24	10.0	0.1	900	0.24798566753531484	0.060465002310789086	0.756	0.4585782920258402	0.20527959048647082	0.552
PC	10.0	0.1	700	0.38620438266925533	0.23755501241103885	0.385	0.7135622039882291	1.449251760644566	1.031
N1	2.0	0.2	500	1.1486651479999999	1.8576198060165028	0.617	2.09553777	3.1725268776175817	0.514
N2	6.0	0.2	500	2.4385435240000004	2.3530138719230065	0.035	4.385100196666668	5.833482637370713	0.33
N3	2.0	0.4	500	1.1430455733333331	1.5074013249763736	0.319	2.271051073333333	3.307429283556851	0.456
N4	6.0	0.4	500	2.4232209493333325	1.8789289525203634	0.225	5.149344517333333	4.403932617178172	0.145
NC	4.0	0.3	500	1.87554369112	2.4590520039436714	0.311	4.069651066506667	4.059739180881246	0.002
